Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes,,,,,,,,,,,,,,,,,,
2005,Jan,,Recycle,R-Mixed recycling,"43,857",,,,,,,,,,,,,,,,,,,,,,
2005,Feb,,Recycle,R-Mixed recycling,"38,734",,,,,,,,,,,,,,,,,,,,,,
2005,Mar,,Recycle,R-Mixed recycling,"41,562",,,,,,,,,,,,,,,,,,,,,,
2005,Apr,,Recycle,R-Mixed recycling,"41,390",,,,,,,,,,,,,,,,,,,,,,
2005,May,,Recycle,R-Mixed recycling,"51,570",,,,,,,,,,,,,,,,,,,,,,
2005,Jun,,Recycle,R-Mixed recycling,"52,310",,,,,,,,,,,,,,,,,,,,,,
2005,Jul,,Recycle,R-Mixed recycling,"16,900",,,,,,,,,,,,,,,,,,,,,,
2005,Aug,,Recycle,R-Mixed recycling,"51,640",,,,,,,,,,,,,,,,,,,,,,
2005,Sep,,Recycle,R-Mixed recycling,"52,655",,,,,,,,,,,,,,,,,,,,,,
2005,Oct,,Recycle,R-Mixed recycling,"45,376",,,,,,,,,,,,,,,,,,,,,,
2005,Nov,,Recycle,R-Mixed recycling,"47,454",,,,,,,,,,,,,,,,,,,,,,
2005,Dec,,Recycle,R-Mixed recycling,"28,200",,,,,,,,,,,,,,,,,,,,,,
2005,Jan,,Landfill,L-Landfill,"244,980",,,,,,,,,,,,,,,,,,,,,,
2005,Feb,,Landfill,L-Landfill,"195,980",,,,,,,,,,,,,,,,,,,,,,
2005,Mar,,Landfill,L-Landfill,"190,340",,,,,,,,,,,,,,,,,,,,,,
2005,Apr,,Landfill,L-Landfill,"274,060",,,,,,,,,,,,,,,,,,,,,,
2005,May,,Landfill,L-Landfill,"226,340",,,,,,,,,,,,,,,,,,,,,,
2005,Jun,,Landfill,L-Landfill,"306,820",,,,,,,,,,,,,,,,,,,,,,
2005,Jul,,Landfill,L-Landfill,"126,700",,,,,,,,,,,,,,,,,,,,,,
2005,Aug,,Landfill,L-Landfill,"218,540",,,,,,,,,,,,,,,,,,,,,,
2005,Sep,,Landfill,L-Landfill,"243,480",,,,,,,,,,,,,,,,,,,,,,
2005,Oct,,Landfill,L-Landfill,"245,920",,,,,,,,,,,,,,,,,,,,,,
2005,Nov,,Landfill,L-Landfill,"243,000",,,,,,,,,,,,,,,,,,,,,,
2005,Dec,,Landfill,L-Landfill,"170,900",,,,,,,,,,,,,,,,,,,,,,
2006,Jan,,Recycle,R-Mixed recycling,"42,515",,,,,,,,,,,,,,,,,,,,,,
2006,Feb,,Recycle,R-Mixed recycling,"34,395",,,,,,,,,,,,,,,,,,,,,,
2006,Mar,,Recycle,R-Mixed recycling,"50,976",,,,,,,,,,,,,,,,,,,,,,
2006,Apr,,Recycle,R-Mixed recycling,"46,795",,,,,,,,,,,,,,,,,,,,,,
2006,May,,Recycle,R-Mixed recycling,"59,962",,,,,,,,,,,,,,,,,,,,,,
2006,Jun,,Recycle,R-Mixed recycling,"42,600",,,,,,,,,,,,,,,,,,,,,,
2006,Jul,,Recycle,R-Mixed recycling,"36,530",,,,,,,,,,,,,,,,,,,,,,
2006,Aug,,Recycle,R-Mixed recycling,"41,090",,,,,,,,,,,,,,,,,,,,,,
2006,Sep,,Recycle,R-Mixed recycling,"51,775",,,,,,,,,,,,,,,,,,,,,,
